LSIP-SOC2,SOC2,SOC 2 digit label,Intercept,Coefficient,WeightedRoles,Value
Cumbria-SOC11,11,Corporate managers and directors,244.7483870967742,-1.5487903225806445,-0.00035606062202446053,2460.0
Swindon and Wiltshire-SOC11,11,Corporate managers and directors,440.14193548387095,-1.6520161290322577,-0.0007442993288313457,4821.0
Hertfordshire-SOC11,11,Corporate managers and directors,793.5032258064516,-0.8358870967741936,-0.0007257821687401723,9291.0
North of Tyne-SOC11,11,Corporate managers and directors,490.89677419354837,-3.2576612903225795,-0.0015021084361675305,4934.0
Thames Valley Berkshire-SOC11,11,Corporate managers and directors,893.1870967741935,-3.582258064516128,-0.003252674372558227,9716.0
Gloucestershire-SOC11,11,Corporate managers and directors,506.19354838709677,-3.6249999999999996,-0.0016938471900313375,5000.0
North East-SOC11,11,Corporate managers and directors,387.7032258064516,-1.3241935483870964,-0.0005296530157158902,4280.0
York and North Yorkshire-SOC11,11,Corporate managers and directors,505.01290322580644,-3.676209677419354,-0.0017150274019783402,4992.0
Hull and East Yorkshire-SOC11,11,Corporate managers and directors,234.1806451612903,-1.3016129032258061,-0.00029400499463873054,2417.0
StokeonTrent and Staffordshire-SOC11,11,Corporate managers and directors,513.1870967741936,-3.8020161290322574,-0.0017826015043750634,5017.0
South Yorkshire-SOC11,11,Corporate managers and directors,529.2903225806451,-0.9556451612903227,-0.0005468360497577678,6123.0
Derbyshire and Nottinghamshire-SOC11,11,Corporate managers and directors,1141.6516129032257,-3.9439516129032253,-0.004668760129149671,12667.0
Solent-SOC11,11,Corporate managers and directors,660.8,1.3975806451612902,0.0011049521043623425,8460.0
West Yorkshire-SOC11,11,Corporate managers and directors,1313.4193548387095,-7.538306451612901,-0.009610545664849573,13642.0
West of England and North Somerset-SOC11,11,Corporate managers and directors,1160.1806451612904,-4.134274193548387,-0.004942355037648355,12792.0
Greater Manchester-SOC11,11,Corporate managers and directors,2037.5096774193548,-0.9935483870967746,-0.0022668572674717563,24414.0
