SOC4,Intercept,Coefficient,SOC 4 digit label,SOC2,Value,WeightedRoles
1172.0,178.93387096774194,-0.8738911290322585,Social services managers and directors,11,7549.0,-0.0005504399998718828
1171.0,569.1935483870967,-2.4107862903225765,Health services and public health managers and directors,11,24696.0,-0.00496762220213462
1112.0,229.64516129032256,-2.1441532258064506,Elected officers and representatives,11,8504.0,-0.0015213961018874947
1111.0,228.5435483870967,-2.115120967741932,Chief executives and senior officials,11,8403.0,-0.0014829714973665302
1150.0,519.8483870967741,-1.907358870967741,Managers and directors in retail and wholesale,11,22739.0,-0.0036188201940460787
1132.0,841.9080645161289,-2.9680443548387,"Marketing, sales and advertising directors",11,37216.0,-0.009216442326671547
1121.0,1406.0596774193546,-3.03245967741934,Production managers and directors in manufacturing,11,64406.0,-0.016296134196793235
1134.0,689.0580645161292,0.5901209677419242,Purchasing managers and directors,11,33998.0,0.0016740084481923758
1131.0,1773.7193548387108,-1.1921370967742622,Financial managers and directors,11,83789.0,-0.00833444029261818
1135.0,26.393548387096775,0.052016129032257975,Charitable organisation managers and directors,11,1353.0,5.872175895436077e-06
1162.0,15.979032258064514,0.05120967741935489,Senior police officers,11,846.0,3.6148113154084505e-06
1137.0,412.8419354838709,-2.380241935483868,Information technology directors,11,16979.0,-0.0033720689065492135
1140.0,73.2516129032258,-0.0363911290322576,"Directors in logistics, warehousing and transport",11,3506.0,-1.064561293145997e-05
1161.0,73.36774193548389,-0.03760080645161412,Officers in armed forces,11,3507.0,-1.1002621052778272e-05
1133.0,98.6693548387097,-0.5917338709677429,Public relations and communications directors,11,4102.0,-0.0002025281124066429
1139.0,709.6338709677422,0.35453629032256107,Functional managers and directors n.e.c.,11,34718.0,0.001027019346941662
1136.0,2049.158064516128,-11.283064516128972,Human resource managers and directors,11,85816.0,-0.08079017873778721
1123.0,35.74354838709677,-0.11804435483870966,Production managers and directors in mining and energy,11,1599.0,-1.5749142645564402e-05
1163.0,118.56129032258063,-0.2966733870967733,"Senior officers in fire, ambulance, prison and related services",11,5376.0,-0.00013307641107272765
1122.0,1051.3645161290326,-7.859475806451637,Production managers and directors in construction,11,41369.0,-0.02712887810995675
1232.0,1016.8661290322578,-7.2804435483870815,"Residential, day and domiciliary care managers and proprietors",12,40571.0,-0.024645451630573165
1224.0,436.56290322580656,-3.0371975806451705,Leisure and sports managers and proprietors,12,17342.0,-0.004394762975406983
1259.0,448.47419354838706,-1.8658266129032233,Managers and proprietors in other services n.e.c.,12,19330.0,-0.003009306112067854
1252.0,32.87903225806452,-0.2278225806451616,Garage managers and proprietors,12,1343.0,-2.552912968927752e-05
1223.0,44.78548387096774,-0.23608870967741932,Publicans and managers of licensed premises,12,1903.0,-3.7486702257046975e-05
1243.0,242.6709677419355,-2.0399193548387116,Managers in logistics,12,9278.0,-0.0015791762240601926
1253.0,52.08870967741937,-0.22782258064516173,Hairdressing and beauty salon managers and proprietors,12,2278.0,-4.3302574409660644e-05
1254.0,84.32580645161292,-0.4059475806451624,Waste disposal and environmental services managers,12,3597.0,-0.0001218354369479301
1225.0,32.737096774193546,0.04364919354838721,Travel agency managers and proprietors,12,1623.0,5.910959366926181e-06
1257.0,135.13225806451612,0.2639112903225801,Hire services managers and proprietors,12,6865.0,0.0001511686523961073
1211.0,68.65806451612903,0.15191532258064536,Managers and proprietors in agriculture and horticulture,12,3504.0,4.441492239005966e-05
1255.0,159.82096774193545,-0.2796370967741923,Managers and directors in the creative industries,12,7363.0,-0.00017179590791866124
1221.0,334.90161290322584,-2.708064516129035,Hotel and accommodation managers and proprietors,12,12933.0,-0.0029222779029473016
1241.0,496.92258064516153,-2.1630040322580806,Managers in transport and distribution,12,21499.0,-0.0038800633701906073
1212.0,96.26451612903222,-0.6606854838709659,"Managers and proprietors in forestry, fishing and related services",12,3917.0,-0.00021592929477245648
1251.0,1049.5467741935486,-6.031149193548396,"Property, housing and estate managers",12,43190.0,-0.021734342459018882
1256.0,11.872580645161293,-0.035887096774193716,Betting shop and gambling establishment managers,12,555.0,-1.6618603983972845e-06
1222.0,432.24193548387086,-2.4178427419354787,Restaurant and catering establishment managers and proprietors,12,17990.0,-0.0036292964499620366
1233.0,6.672580645161291,-0.11814516129032261,Early education and childcare services proprietors,12,205.0,-2.020845122577841e-06
1258.0,65.19193548387098,-0.4817540322580648,Directors in consultancy services,12,2571.0,-0.00010334528444058741
1242.0,1094.132258064516,-6.280443548387094,Managers in storage and warehousing,12,44996.0,-0.023579112488290595
1231.0,139.06451612903226,-0.46219758064516125,Health care practice managers,12,6128.0,-0.00023632499337240855
2161.0,641.4387096774194,0.298689516129028,Research and development (R&D) managers,21,31455.0,0.0007839220831966198
2162.0,87.66935483870968,-0.20967741935483936,"Other researchers, unspecified discipline",21,3998.0,-6.994516234137085e-05
2121.0,815.3725806451611,-0.2501008064516015,Civil engineers,21,39185.0,-0.0008177078615420241
2136.0,270.9032258064516,-0.2056451612903186,IT quality and testing professionals,21,12802.0,-0.00021966433400837288
2114.0,168.69838709677424,-0.46048387096774435,Physical scientists,21,7571.0,-0.0002908914116225448
2113.0,343.72741935483873,-1.1941532258064513,Biochemists and biomedical scientists,21,15093.0,-0.0015038303939224496
2115.0,338.4258064516129,-1.509979838709679,Social and humanities scientists,21,14396.0,-0.0018137449511170486
2142.0,522.8338709677421,-1.475504032258069,Graphic and multimedia designers,21,23556.0,-0.0029000479337128707
2126.0,42.75645161290321,0.12812500000000074,Aerospace engineers,21,2223.0,2.3764931729045654e-05
